Time,AccelerometerX
504.998,-0.68115234375
505.008,-0.873046875
505.018,-1.0078125
505.028,-1.087890625
505.038,-1.0869140625
505.048,-0.943359375
505.058,-0.6484375
505.068,-0.329345703125
505.078,-0.1510009765625
505.088,-0.2000732421875
505.098,-0.472900390625
505.108,-0.87841796875
505.118,-1.2451171875
505.128,-1.41796875
505.138,-1.3486328125
505.148,-1.0556640625
505.158,-0.55810546875
505.166,0.08258056640625
505.176,0.76611328125
505.186,1.3779296875
505.196,1.8095703125
505.206,2.001953125
505.216,1.9599609375
505.226,1.7333984375
505.236,1.3935546875
505.246,0.9873046875
505.256,0.5576171875
505.266,0.161376953125
505.276,-0.150146484375
505.286,-0.35205078125
505.296,-0.450927734375
505.306,-0.477783203125
505.316,-0.461669921875
505.326,-0.410400390625
505.336,-0.324951171875
505.346,-0.2333984375
505.356,-0.182373046875
505.365,-0.19921875
505.375,-0.276611328125
505.385,-0.37158203125
505.395,-0.41796875
505.405,-0.37353515625
505.415,-0.2459716796875
505.425,-0.07464599609375
505.435,0.09222412109375
505.445,0.2159423828125
505.455,0.277099609375
505.465,0.275146484375
505.475,0.2265625
505.485,0.154052734375
505.495,0.0740966796875
505.505,-0.00658416748046875
505.515,-0.08819580078125
505.525,-0.173828125
505.535,-0.26171875
505.545,-0.334716796875
505.555,-0.363037109375
505.559,-0.0587158203125
505.569,-0.03936767578125
505.579,-0.038604736328125
505.589,-0.05810546875
505.599,-0.091064453125
505.609,-0.1138916015625
505.619,-0.10540771484375
505.629,-0.07049560546875
505.639,-0.03851318359375
505.649,-0.036834716796875
505.659,-0.06793212890625
505.669,-0.11083984375
505.679,-0.137939453125
505.689,-0.1331787109375
505.699,-0.10528564453125
505.709,-0.08148193359375
505.718,-0.083984375
505.728,-0.10968017578125
505.738,-0.1375732421875
505.748,-0.151123046875
505.758,-0.150146484375
505.768,-0.1478271484375
505.778,-0.1572265625
505.788,-0.1787109375
505.798,-0.203125
505.808,-0.221923828125
505.818,-0.231689453125
505.828,-0.235107421875
505.838,-0.2421875
505.848,-0.259765625
505.858,-0.28125
505.868,-0.290771484375
505.878,-0.2763671875
505.888,-0.239013671875
505.898,-0.1944580078125
505.908,-0.165771484375
505.916,-0.16748046875
505.926,-0.1939697265625
505.936,-0.222412109375
505.946,-0.228759765625
505.956,-0.2030029296875
505.966,-0.159423828125
505.976,-0.1270751953125
505.986,-0.1263427734375
505.996,-0.157958984375
506.006,-0.2052001953125
506.016,-0.2457275390625
506.026,-0.26318359375
506.036,-0.25732421875
506.046,-0.2412109375
506.056,-0.230224609375
506.066,-0.233642578125
506.076,-0.253662109375
506.086,-0.286376953125
506.096,-0.316162109375
506.106,-0.323974609375
506.115,-0.297607421875
506.125,-0.2379150390625
506.135,-0.1595458984375
506.145,-0.08587646484375
506.155,-0.0374755859375
506.165,-0.0267486572265625
506.175,-0.052459716796875
506.185,-0.09625244140625
506.195,-0.13427734375
506.205,-0.1553955078125
506.215,-0.1649169921875
506.225,-0.1798095703125
506.235,-0.2147216796875
506.245,-0.266357421875
506.255,-0.320068359375
506.265,-0.364013671875
506.275,-0.388916015625
506.285,-0.391357421875
506.295,-0.3779296875
506.305,-0.353759765625
506.309,-0.076171875
506.319,-0.0748291015625
506.329,-0.10797119140625
506.339,-0.161376953125
506.349,-0.2171630859375
506.359,-0.25830078125
506.369,-0.283935546875
506.379,-0.30126953125
506.389,-0.3115234375
506.399,-0.314208984375
506.409,-0.308349609375
506.419,-0.290771484375
506.429,-0.262451171875
506.439,-0.2313232421875
506.449,-0.2054443359375
506.459,-0.1925048828125
506.468,-0.19775390625
506.478,-0.2174072265625
506.488,-0.2392578125
506.498,-0.253173828125
506.508,-0.256103515625
506.518,-0.258544921875
506.528,-0.2822265625
506.538,-0.333740234375
506.548,-0.400390625
506.558,-0.464111328125
506.568,-0.5029296875
506.578,-0.501953125
506.588,-0.46435546875
506.598,-0.399169921875
506.608,-0.31005859375
506.618,-0.2025146484375
506.628,-0.08184814453125
506.638,0.04205322265625
506.648,0.14697265625
506.658,0.2174072265625
506.666,0.251708984375
506.676,0.2509765625
506.686,0.2264404296875
506.696,0.194091796875
506.706,0.158935546875
506.716,0.12225341796875
506.726,0.08734130859375
506.736,0.049285888671875
506.746,-7.40289688110352e-05
506.756,-0.06195068359375
506.766,-0.1337890625
506.776,-0.20947265625
506.786,-0.28125
506.796,-0.34716796875
506.806,-0.405029296875
506.816,-0.447509765625
506.826,-0.46875
506.836,-0.469482421875
506.846,-0.457763671875
506.856,-0.4443359375
506.865,-0.434814453125
506.875,-0.431396484375
506.885,-0.441650390625
506.895,-0.470458984375
506.905,-0.51513671875
506.915,-0.572265625
506.925,-0.6376953125
506.935,-0.70263671875
506.945,-0.755859375
506.955,-0.78955078125
506.965,-0.798828125
506.975,-0.7861328125
506.985,-0.76318359375
506.995,-0.74169921875
507.005,-0.72705078125
507.015,-0.7177734375
507.025,-0.7138671875
507.035,-0.71435546875
507.045,-0.712890625
507.055,-0.70263671875
507.059,-0.437255859375
507.069,-0.361572265625
507.079,-0.29443359375
507.089,-0.2470703125
507.099,-0.226318359375
507.109,-0.2257080078125
507.119,-0.2274169921875
507.129,-0.2161865234375
507.139,-0.1827392578125
507.149,-0.118896484375
507.159,-0.0267791748046875
507.169,0.0740966796875
507.179,0.1575927734375
507.189,0.20068359375
507.199,0.1883544921875
507.209,0.1182861328125
507.217,-0.00215339660644531
507.227,-0.1614990234375
507.237,-0.344970703125
507.247,-0.5380859375
507.257,-0.73095703125
507.267,-0.9072265625
507.277,-1.0439453125
507.287,-1.1298828125
507.297,-1.1728515625
507.307,-1.1904296875
507.317,-1.1943359375
507.327,-1.1826171875
507.337,-1.1533203125
507.347,-1.11328125
507.357,-1.0791015625
507.367,-1.0556640625
507.377,-1.03515625
507.387,-1.0224609375
507.397,-1.05078125
507.407,-1.1455078125
507.416,-1.2763671875
507.426,-1.3779296875
507.436,-1.408203125
507.446,-1.380859375
507.456,-1.3427734375
507.466,-1.3349609375
507.476,-1.369140625
507.486,-1.4306640625
507.496,-1.48828125
507.506,-1.5107421875
507.516,-1.5009765625
507.526,-1.5068359375
507.536,-1.5849609375
507.546,-1.74609375
507.556,-1.9384765625
507.566,-2.083984375
507.576,-2.1171875
507.586,-1.9912109375
507.596,-1.6787109375
507.606,-1.1904296875
507.615,-0.58984375
507.625,-0.009124755859375
507.635,0.40576171875
507.645,0.572265625
507.655,0.4951171875
507.665,0.2373046875
507.675,-0.11883544921875
507.685,-0.495849609375
507.695,-0.8193359375
507.705,-1.04296875
507.715,-1.1728515625
507.725,-1.236328125
507.735,-1.2548828125
507.745,-1.23828125
507.755,-1.197265625
507.765,-1.1513671875
507.775,-1.1259765625
507.785,-1.13671875
507.795,-1.1806640625
507.805,-1.2353515625
507.809,-1.25
507.819,-1.2294921875
507.829,-1.205078125
507.839,-1.173828125
507.849,-1.1416015625
507.859,-1.12109375
507.869,-1.1162109375
507.879,-1.1240234375
507.889,-1.1376953125
507.899,-1.146484375
507.909,-1.142578125
507.919,-1.1298828125
507.929,-1.1171875
507.939,-1.11328125
507.949,-1.111328125
507.959,-1.109375
507.967,-1.109375
507.977,-1.11328125
507.987,-1.1259765625
507.997,-1.150390625
508.007,-1.18359375
508.017,-1.2197265625
508.027,-1.25
508.037,-1.263671875
508.047,-1.24609375
508.057,-1.193359375
508.067,-1.107421875
508.077,-1.00390625
508.087,-0.90087890625
508.097,-0.82080078125
508.107,-0.78125
508.117,-0.78759765625
508.127,-0.82861328125
508.137,-0.88623046875
508.147,-0.951171875
508.157,-1.01171875
508.166,-1.0537109375
508.176,-1.0771484375
508.186,-1.0849609375
508.196,-1.0693359375
508.206,-1.03125
508.216,-0.97998046875
508.226,-0.92724609375
508.236,-0.88623046875
508.246,-0.8681640625
508.256,-0.88134765625
508.266,-0.92138671875
508.276,-0.97509765625
508.286,-1.03515625
508.296,-1.0869140625
508.306,-1.111328125
508.316,-1.1015625
508.326,-1.0576171875
508.336,-0.9951171875
508.346,-0.9423828125
508.356,-0.90966796875
508.365,-0.8876953125
508.375,-0.8828125
508.385,-0.90283203125
508.395,-0.92919921875
508.405,-0.94580078125
508.415,-0.95654296875
508.425,-0.9599609375
508.435,-0.94970703125
508.445,-0.931640625
508.455,-0.91064453125
508.465,-0.8916015625
508.475,-0.884765625
508.485,-0.8857421875
508.495,-0.87890625
508.505,-0.86376953125
508.515,-0.84619140625
508.525,-0.81787109375
508.535,-0.775390625
508.545,-0.73828125
508.555,-0.72265625
508.559,-0.875
508.569,-0.89599609375
508.579,-0.90576171875
508.589,-0.91552734375
508.599,-0.9033203125
508.609,-0.8603515625
508.619,-0.81982421875
508.629,-0.8173828125
508.639,-0.83935546875
508.649,-0.845703125
508.659,-0.826171875
508.669,-0.81787109375
508.679,-0.8515625
508.689,-0.900390625
508.699,-0.8984375
508.709,-0.8076171875
508.717,-0.6640625
508.727,-0.55078125
508.737,-0.5205078125
508.747,-0.544921875
508.757,-0.5537109375
508.767,-0.5107421875
508.777,-0.44384765625
508.787,-0.40576171875
508.797,-0.41357421875
508.807,-0.437255859375
508.817,-0.447021484375
508.827,-0.45458984375
508.837,-0.49169921875
508.847,-0.55712890625
508.857,-0.6083984375
508.867,-0.60888671875
508.877,-0.572265625
508.887,-0.5439453125
508.897,-0.548828125
508.907,-0.56298828125
508.916,-0.5478515625
508.926,-0.50048828125
508.936,-0.4619140625
508.946,-0.4765625
508.956,-0.541015625
508.966,-0.60302734375
508.976,-0.60595703125
508.986,-0.53857421875
508.996,-0.4453125
509.006,-0.38525390625
509.016,-0.375
509.026,-0.364990234375
509.036,-0.284912109375
509.046,-0.11285400390625
509.056,0.0986328125
509.066,0.25537109375
509.076,0.28125
509.086,0.1661376953125
509.096,-0.0294342041015625
509.106,-0.2176513671875
509.115,-0.334716796875
509.125,-0.361328125
509.135,-0.312255859375
509.145,-0.21875
509.155,-0.1094970703125
509.165,0.0078277587890625
509.175,0.1466064453125
509.185,0.31689453125
509.195,0.50341796875
509.205,0.66650390625
509.215,0.75341796875
509.225,0.72802734375
509.235,0.599609375
509.245,0.42578125
509.255,0.267822265625
509.265,0.1568603515625
509.275,0.09759521484375
509.285,0.08709716796875
509.295,0.11785888671875
509.305,0.1695556640625
509.309,-0.09820556640625
509.319,-0.2027587890625
509.329,-0.279541015625
509.339,-0.29296875
509.349,-0.2283935546875
509.359,-0.10052490234375
509.369,0.05279541015625
509.379,0.1856689453125
509.389,0.2724609375
509.399,0.320556640625
509.409,0.34619140625
509.419,0.348388671875
509.429,0.314697265625
509.439,0.2332763671875
509.449,0.095458984375
509.459,-0.08245849609375
509.467,-0.251220703125
509.477,-0.357666015625
509.487,-0.373046875
509.497,-0.2919921875
509.507,-0.1259765625
509.517,0.0909423828125
509.527,0.30419921875
509.537,0.470458984375
509.547,0.56005859375
509.557,0.5556640625
509.567,0.46435546875
509.577,0.300537109375
509.587,0.076416015625
509.597,-0.1763916015625
509.607,-0.411376953125
509.617,-0.59521484375
509.627,-0.7060546875
509.637,-0.72216796875
509.647,-0.62451171875
509.657,-0.41796875
509.666,-0.14111328125
509.676,0.1444091796875
509.686,0.369140625
509.696,0.487548828125
509.706,0.50048828125
509.716,0.4423828125
509.726,0.349853515625
509.736,0.240478515625
509.746,0.12115478515625
509.756,0.0041656494140625
509.766,-0.1015625
509.776,-0.1998291015625
509.786,-0.288330078125
509.796,-0.346923828125
509.806,-0.354248046875
509.816,-0.30029296875
509.826,-0.1868896484375
509.836,-0.030120849609375
509.846,0.134765625
509.856,0.27294921875
509.865,0.365234375
509.875,0.401611328125
509.885,0.379638671875
509.895,0.3125
509.905,0.2288818359375
509.915,0.1549072265625
509.925,0.10528564453125
509.935,0.08319091796875
509.945,0.07586669921875
509.955,0.061614990234375
509.965,0.0323486328125
509.975,-0.0057830810546875
509.985,-0.04766845703125
509.995,-0.08807373046875
510.005,-0.11358642578125
510.015,-0.107177734375
510.025,-0.0653076171875
510.035,-0.00483322143554688
510.045,0.054351806640625
510.055,0.1036376953125
510.06,0.019622802734375
510.07,-0.00399398803710938
510.08,-0.0101852416992188
510.09,0.00244522094726562
510.1,0.0279998779296875
510.11,0.062103271484375
510.12,0.09625244140625
510.13,0.11065673828125
510.14,0.095703125
510.15,0.06048583984375
510.16,0.0154876708984375
510.17,-0.026458740234375
510.18,-0.047119140625
510.19,-0.038421630859375
510.2,-0.00632858276367188
510.21,0.036895751953125
510.217,0.07403564453125
510.227,0.09246826171875
510.237,0.090087890625
510.247,0.066162109375
510.257,0.0198974609375
510.267,-0.0433349609375
510.277,-0.10736083984375
510.287,-0.14892578125
