Time,Water_Temp
356.686,47.46875
356.736,47.4375
356.786,47.40625
356.836,47.375
356.886,47.34375
356.936,47.34375
356.986,47.3125
357.036,47.3125
357.086,47.34375
357.136,47.375
357.186,47.375
357.236,47.375
357.286,47.40625
357.336,47.4375
357.386,47.4375
357.436,47.46875
357.486,47.46875
357.536,47.4375
357.586,47.375
357.636,47.34375
357.686,47.3125
357.736,47.3125
357.786,47.3125
357.836,47.34375
357.886,47.34375
357.936,47.375
357.986,47.40625
358.036,47.40625
358.086,47.40625
358.135,47.40625
358.185,47.375
358.235,47.375
358.285,47.34375
358.335,47.34375
358.385,47.34375
358.435,47.375
358.485,47.40625
358.535,47.4375
358.585,47.46875
358.635,47.46875
358.685,47.46875
358.735,47.4375
358.785,47.40625
358.835,47.40625
358.885,47.4375
358.935,47.4375
358.985,47.4375
359.035,47.46875
359.085,47.46875
359.135,47.46875
359.185,47.46875
359.235,47.4375
359.285,47.4375
359.335,47.40625
359.385,47.40625
359.435,47.40625
359.485,47.4375
359.535,47.4375
359.585,47.46875
359.635,47.46875
359.685,47.5
359.735,47.5
359.785,47.53125
359.835,47.5625
359.885,47.5625
359.935,47.59375
359.985,47.625
360.035,47.625
360.085,47.59375
360.135,47.5625
360.185,47.5
360.235,47.5
360.285,47.46875
360.335,47.46875
360.385,47.46875
360.435,47.5
360.485,47.5
360.535,47.53125
360.585,47.53125
360.635,47.5625
360.685,47.5625
360.735,47.5625
360.784,47.5625
360.834,47.5625
360.884,47.53125
360.934,47.53125
360.984,47.5
361.034,47.5
361.084,47.53125
361.134,47.5625
361.184,47.59375
361.234,47.625
361.284,47.65625
361.334,47.6875
361.384,47.6875
361.434,47.71875
361.484,47.71875
361.534,47.6875
361.584,47.6875
361.634,47.6875
361.684,47.6875
361.734,47.6875
361.784,47.6875
361.834,47.6875
361.884,47.65625
361.934,47.625
361.984,47.625
362.034,47.59375
362.084,47.59375
362.134,47.59375
362.184,47.59375
362.234,47.65625
362.284,47.6875
362.334,47.71875
362.384,47.75
362.434,47.78125
362.484,47.8125
362.534,47.8125
362.584,47.8125
362.634,47.8125
362.684,47.8125
362.734,47.78125
362.784,47.78125
362.834,47.78125
362.884,47.78125
362.934,47.78125
362.984,47.78125
363.034,47.78125
363.084,47.78125
363.134,47.75
363.184,47.6875
363.234,47.65625
363.284,47.59375
363.334,47.5625
363.383,47.53125
363.433,47.5625
363.483,47.59375
363.533,47.625
363.583,47.65625
363.633,47.6875
363.683,47.71875
363.733,47.71875
363.783,47.71875
363.833,47.71875
363.883,47.71875
363.933,47.75
363.983,47.78125
364.033,47.78125
364.083,47.8125
364.133,47.84375
364.183,47.84375
364.233,47.84375
364.283,47.84375
364.333,47.84375
364.383,47.84375
364.433,47.875
364.483,47.875
364.533,47.90625
364.583,47.90625
364.633,47.90625
364.683,47.90625
364.733,47.90625
364.783,47.9375
364.833,48
364.883,48.03125
364.933,48.0625
364.983,48.0625
365.033,48.0625
365.083,48.03125
365.133,48
365.183,47.9375
365.233,47.875
365.283,47.8125
365.333,47.78125
365.383,47.78125
365.433,47.8125
365.483,47.8125
365.533,47.84375
365.583,47.84375
365.633,47.875
365.683,47.90625
365.733,47.9375
365.783,47.96875
365.833,47.96875
365.883,47.96875
365.933,47.96875
365.983,48
366.032,48
366.082,48
366.132,48
366.182,48
366.232,48
366.282,48
366.332,48
366.382,48
366.432,48
366.482,48
366.532,48
366.582,47.96875
366.632,47.9375
366.682,47.90625
366.732,47.875
366.782,47.84375
366.832,47.8125
366.882,47.8125
366.932,47.78125
366.982,47.8125
367.032,47.84375
367.082,47.875
367.132,47.9375
367.182,47.96875
367.232,48
367.282,48.03125
367.332,48.03125
367.382,48
367.432,47.96875
367.482,47.96875
367.532,47.96875
367.582,48
367.632,48.03125
367.682,48.0625
367.732,48.125
367.782,48.15625
367.832,48.21875
367.882,48.21875
367.932,48.25
367.982,48.21875
368.032,48.21875
368.082,48.1875
368.132,48.15625
368.182,48.15625
368.232,48.15625
368.282,48.15625
368.332,48.125
368.382,48.125
368.432,48.125
368.482,48.15625
368.532,48.1875
368.582,48.21875
368.631,48.21875
368.681,48.21875
368.731,48.21875
368.781,48.21875
368.831,48.21875
368.881,48.25
368.931,48.25
368.981,48.3125
369.031,48.34375
369.081,48.375
369.131,48.375
369.181,48.3125
369.231,48.28125
369.281,48.21875
369.331,48.15625
369.381,48.125
369.431,48.09375
369.481,48.09375
369.531,48.09375
369.581,48.125
369.631,48.15625
369.681,48.1875
369.731,48.21875
369.781,48.28125
369.831,48.34375
369.881,48.40625
369.931,48.40625
369.981,48.40625
370.031,48.40625
370.081,48.375
370.131,48.375
370.181,48.34375
370.231,48.3125
370.281,48.28125
370.331,48.25
370.381,48.25
370.431,48.21875
370.481,48.21875
370.531,48.21875
370.581,48.21875
370.631,48.25
370.681,48.25
370.731,48.25
370.781,48.21875
370.831,48.21875
370.881,48.21875
370.931,48.1875
370.981,48.1875
371.031,48.15625
371.081,48.15625
371.131,48.15625
371.181,48.1875
371.231,48.21875
371.28,48.25
371.33,48.3125
371.38,48.375
371.43,48.375
371.48,48.375
371.53,48.375
371.58,48.3125
371.63,48.28125
371.68,48.28125
371.73,48.28125
371.78,48.28125
371.83,48.3125
371.88,48.34375
371.93,48.375
371.98,48.40625
372.03,48.4375
372.08,48.4375
372.13,48.4375
372.18,48.40625
372.23,48.40625
372.28,48.375
372.33,48.375
372.38,48.34375
372.43,48.34375
372.48,48.34375
372.53,48.34375
372.58,48.34375
372.63,48.3125
372.68,48.28125
372.73,48.21875
372.78,48.21875
372.83,48.1875
372.88,48.21875
372.93,48.28125
372.98,48.3125
373.03,48.375
373.08,48.40625
373.13,48.4375
373.18,48.4375
373.23,48.46875
373.28,48.46875
373.33,48.46875
373.38,48.5
373.43,48.5
373.48,48.53125
373.53,48.53125
373.58,48.5625
373.63,48.5625
373.68,48.5625
373.73,48.5625
373.78,48.53125
373.83,48.5
373.88,48.46875
373.93,48.4375
373.979,48.4375
374.029,48.46875
374.079,48.5
374.129,48.5
374.179,48.5
374.229,48.5
374.279,48.46875
374.329,48.46875
374.379,48.46875
374.429,48.46875
374.479,48.5
374.529,48.5
374.579,48.5
374.629,48.5
374.679,48.5
374.729,48.5
374.779,48.53125
374.829,48.53125
374.879,48.5625
374.929,48.59375
374.979,48.59375
375.029,48.625
375.079,48.625
375.129,48.625
375.179,48.65625
375.229,48.65625
375.279,48.625
375.329,48.59375
375.379,48.5625
375.429,48.5625
375.479,48.5625
375.529,48.625
375.579,48.65625
375.629,48.6875
375.679,48.71875
375.729,48.71875
375.779,48.71875
375.829,48.6875
375.879,48.65625
375.929,48.625
375.979,48.625
376.029,48.625
376.079,48.59375
376.129,48.59375
376.179,48.59375
376.229,48.59375
376.279,48.59375
376.329,48.625
376.379,48.65625
376.429,48.65625
376.479,48.65625
376.528,48.6875
376.578,48.6875
376.628,48.65625
376.678,48.65625
376.728,48.65625
376.778,48.625
376.828,48.625
376.878,48.625
376.928,48.625
376.978,48.625
377.028,48.625
377.078,48.59375
377.128,48.5625
377.178,48.5625
377.228,48.5625
377.278,48.59375
377.328,48.59375
377.378,48.59375
377.428,48.59375
377.478,48.5625
377.528,48.5625
377.578,48.5625
377.628,48.5625
377.678,48.5625
377.728,48.53125
377.778,48.53125
377.828,48.5
377.878,48.5
377.928,48.46875
377.978,48.5
378.028,48.53125
378.078,48.59375
378.128,48.625
378.178,48.65625
378.228,48.625
378.278,48.625
378.328,48.59375
378.378,48.59375
378.428,48.59375
378.478,48.625
378.528,48.625
378.578,48.625
378.628,48.625
378.678,48.59375
378.728,48.625
378.778,48.65625
378.828,48.65625
378.878,48.65625
378.928,48.65625
378.978,48.65625
379.028,48.65625
379.078,48.6875
379.127,48.71875
379.177,48.75
379.227,48.8125
379.277,48.84375
379.327,48.84375
379.377,48.84375
379.427,48.84375
379.477,48.84375
379.527,48.8125
379.577,48.8125
379.627,48.78125
379.677,48.78125
379.727,48.75
379.777,48.75
379.827,48.75
379.877,48.71875
379.927,48.71875
379.977,48.71875
380.027,48.71875
380.077,48.75
380.127,48.78125
380.177,48.78125
380.227,48.8125
380.277,48.84375
380.327,48.84375
380.377,48.875
380.427,48.90625
380.477,48.9375
380.527,48.9375
380.577,48.9375
380.627,48.90625
380.677,48.875
380.727,48.84375
