Time,AccelerometerZ
377.152,-1.31640625
377.162,-1.3056640625
377.172,-1.2724609375
377.18,-1.22265625
377.19,-1.1669921875
377.2,-1.1171875
377.21,-1.0751953125
377.22,-1.0439453125
377.23,-1.025390625
377.24,-1.01953125
377.25,-1.02734375
377.26,-1.041015625
377.27,-1.0517578125
377.28,-1.060546875
377.29,-1.0673828125
377.3,-1.0751953125
377.31,-1.0888671875
377.32,-1.1044921875
377.33,-1.1142578125
377.34,-1.1171875
377.35,-1.11328125
377.36,-1.103515625
377.37,-1.0947265625
377.379,-1.095703125
377.389,-1.1064453125
377.399,-1.1279296875
377.409,-1.1630859375
377.419,-1.212890625
377.429,-1.2734375
377.439,-1.3369140625
377.449,-1.3955078125
377.459,-1.443359375
377.469,-1.4794921875
377.479,-1.5029296875
377.489,-1.5126953125
377.499,-1.5078125
377.509,-1.484375
377.519,-1.4384765625
377.529,-1.3740234375
377.539,-1.302734375
377.549,-1.234375
377.559,-1.1767578125
377.569,-1.146484375
377.573,-1.333984375
377.583,-1.349609375
377.593,-1.3564453125
377.603,-1.353515625
377.613,-1.333984375
377.623,-1.294921875
377.633,-1.2451171875
377.643,-1.1953125
377.653,-1.15234375
377.663,-1.123046875
377.673,-1.111328125
377.683,-1.111328125
377.693,-1.11328125
377.703,-1.12109375
377.713,-1.1474609375
377.723,-1.2021484375
377.732,-1.2734375
377.742,-1.3427734375
377.752,-1.3994140625
377.762,-1.44921875
377.772,-1.501953125
377.782,-1.552734375
377.792,-1.5771484375
377.802,-1.5537109375
377.812,-1.4833984375
377.822,-1.390625
377.832,-1.306640625
377.842,-1.2431640625
377.852,-1.197265625
377.862,-1.16015625
377.872,-1.130859375
377.882,-1.115234375
377.892,-1.111328125
377.902,-1.1162109375
377.912,-1.1220703125
377.922,-1.1328125
377.93,-1.1806640625
377.94,-1.3076171875
377.95,-1.5166015625
377.96,-1.7392578125
377.97,-1.8876953125
377.98,-1.9267578125
377.99,-1.8828125
378,-1.7900390625
378.01,-1.66015625
378.02,-1.4970703125
378.03,-1.310546875
378.04,-1.11328125
378.05,-0.93115234375
378.06,-0.78466796875
378.07,-0.69970703125
378.08,-0.71337890625
378.09,-0.857421875
378.1,-1.123046875
378.11,-1.4384765625
378.12,-1.689453125
378.129,-1.791015625
378.139,-1.7431640625
378.149,-1.6162109375
378.159,-1.48046875
378.169,-1.3671875
378.179,-1.27734375
378.189,-1.2021484375
378.199,-1.1416015625
378.209,-1.1083984375
378.219,-1.1044921875
378.229,-1.1162109375
378.239,-1.1328125
378.249,-1.1484375
378.259,-1.142578125
378.269,-1.0869140625
378.279,-0.978515625
378.289,-0.857421875
378.299,-0.7666015625
378.309,-0.716796875
378.319,-0.6875
378.323,-0.95703125
378.333,-1.052734375
378.343,-1.115234375
378.353,-1.1533203125
378.363,-1.1806640625
378.373,-1.2021484375
378.383,-1.21484375
378.393,-1.2333984375
378.403,-1.263671875
378.413,-1.271484375
378.423,-1.2255859375
378.433,-1.1376953125
378.443,-1.0615234375
378.453,-1.029296875
378.463,-1.02734375
378.473,-1.0166015625
378.482,-0.96728515625
378.492,-0.88720703125
378.502,-0.8115234375
378.512,-0.76513671875
378.522,-0.74853515625
378.532,-0.75830078125
378.542,-0.79833984375
378.552,-0.87109375
378.562,-0.9619140625
378.572,-1.0400390625
378.582,-1.0751953125
378.592,-1.056640625
378.602,-1.009765625
378.612,-0.9697265625
378.622,-0.94287109375
378.632,-0.90966796875
378.642,-0.859375
378.652,-0.81201171875
378.662,-0.7958984375
378.672,-0.82177734375
378.68,-0.87548828125
378.69,-0.9423828125
378.7,-1.013671875
378.71,-1.076171875
378.72,-1.1171875
378.73,-1.1396484375
378.74,-1.150390625
378.75,-1.150390625
378.76,-1.1484375
378.77,-1.16796875
378.78,-1.2197265625
378.79,-1.287109375
378.8,-1.349609375
378.81,-1.4052734375
378.82,-1.44921875
378.83,-1.4765625
378.84,-1.505859375
378.85,-1.5517578125
378.86,-1.599609375
378.87,-1.6279296875
378.879,-1.6357421875
378.889,-1.6279296875
378.899,-1.6064453125
