Time,AccelerometerY
566.066,-1.0078125
566.076,-1.0322265625
566.084,-1.095703125
566.094,-1.1845703125
566.104,-1.236328125
566.114,-1.181640625
566.124,-1.0185546875
566.134,-0.83837890625
566.144,-0.74365234375
566.154,-0.7568359375
566.164,-0.826171875
566.174,-0.8818359375
566.184,-0.875
566.194,-0.796875
566.204,-0.671875
566.214,-0.53955078125
566.224,-0.426513671875
566.234,-0.340087890625
566.244,-0.288330078125
566.254,-0.30322265625
566.264,-0.409423828125
566.274,-0.56298828125
566.278,-0.248046875
566.288,-0.1397705078125
566.298,-0.071533203125
566.308,-0.0794677734375
566.318,-0.1529541015625
566.328,-0.21484375
566.338,-0.2166748046875
566.348,-0.230224609375
566.358,-0.37255859375
566.368,-0.65625
566.378,-0.97705078125
566.388,-1.2255859375
566.398,-1.3779296875
566.408,-1.46484375
566.418,-1.50390625
566.428,-1.46875
566.437,-1.34765625
566.447,-1.1865234375
566.457,-1.0361328125
566.467,-0.8759765625
566.477,-0.6455078125
566.487,-0.36572265625
566.497,-0.1656494140625
566.507,-0.15869140625
566.517,-0.314453125
566.527,-0.491455078125
566.537,-0.57421875
566.547,-0.564453125
566.557,-0.5478515625
566.567,-0.59716796875
566.577,-0.70263671875
566.587,-0.8046875
566.597,-0.87841796875
566.607,-0.95751953125
566.617,-1.0732421875
566.627,-1.2158203125
566.636,-1.38671875
566.646,-1.6357421875
566.656,-1.9755859375
566.666,-2.328125
566.676,-2.578125
566.686,-2.654296875
566.696,-2.564453125
566.706,-2.37109375
566.716,-2.11328125
566.726,-1.8017578125
566.736,-1.4541015625
566.746,-1.1259765625
566.756,-0.85400390625
566.766,-0.62451171875
566.776,-0.4326171875
566.786,-0.33203125
566.796,-0.398681640625
566.806,-0.62158203125
566.816,-0.88330078125
566.826,-1.0703125
566.834,-1.162109375
566.844,-1.2119140625
566.854,-1.2783203125
566.864,-1.365234375
566.874,-1.42578125
566.884,-1.4287109375
566.894,-1.3857421875
566.904,-1.3232421875
566.914,-1.248046875
566.924,-1.1552734375
566.934,-1.041015625
566.944,-0.9248046875
566.954,-0.8251953125
566.964,-0.74658203125
566.974,-0.6865234375
566.984,-0.6435546875
566.994,-0.62060546875
567.004,-0.61865234375
567.014,-0.63330078125
567.024,-0.650390625
567.028,-0.81005859375
567.038,-0.79541015625
567.048,-0.7412109375
567.058,-0.6767578125
567.068,-0.62548828125
567.078,-0.5947265625
567.088,-0.578125
567.098,-0.57177734375
567.108,-0.57666015625
567.118,-0.5908203125
567.128,-0.6123046875
567.138,-0.6484375
567.148,-0.7080078125
567.158,-0.77587890625
567.168,-0.81787109375
567.178,-0.8017578125
567.187,-0.728515625
567.197,-0.626953125
567.207,-0.5224609375
567.217,-0.421142578125
567.227,-0.33154296875
567.237,-0.281982421875
567.247,-0.290283203125
567.257,-0.331787109375
567.267,-0.34814453125
567.277,-0.303955078125
567.287,-0.2130126953125
567.297,-0.110107421875
567.307,-0.02117919921875
567.317,0.0426025390625
567.327,0.08349609375
567.337,0.1131591796875
567.347,0.1470947265625
567.357,0.1959228515625
567.367,0.25146484375
567.377,0.2939453125
567.386,0.32373046875
567.396,0.35888671875
567.406,0.40380859375
567.416,0.442138671875
567.426,0.455810546875
567.436,0.435302734375
567.446,0.386474609375
567.456,0.329833984375
567.466,0.2822265625
567.476,0.2431640625
567.486,0.1962890625
567.496,0.1387939453125
567.506,0.10003662109375
567.516,0.10565185546875
567.526,0.1434326171875
567.536,0.186767578125
567.546,0.2203369140625
567.556,0.235595703125
567.566,0.2303466796875
567.576,0.21728515625
567.584,0.2159423828125
567.594,0.2330322265625
567.604,0.2548828125
567.614,0.262451171875
567.624,0.2423095703125
567.634,0.18505859375
567.644,0.0963134765625
567.654,0.0105972290039062
567.664,-0.031982421875
567.674,-0.0291900634765625
567.684,-0.02099609375
567.694,-0.0460205078125
567.704,-0.10638427734375
567.714,-0.185302734375
567.724,-0.284912109375
567.734,-0.42919921875
567.744,-0.62939453125
567.754,-0.85791015625
567.764,-1.068359375
567.774,-1.2314453125
567.778,-1.275390625
567.788,-1.19140625
567.798,-1.115234375
567.808,-1.0537109375
567.818,-1.0185546875
567.828,-1.01171875
567.838,-1.0244140625
567.848,-1.0498046875
567.858,-1.08984375
567.868,-1.1494140625
567.878,-1.228515625
567.888,-1.31640625
567.898,-1.3955078125
567.908,-1.4521484375
567.918,-1.4931640625
567.928,-1.53515625
567.937,-1.591796875
567.947,-1.662109375
567.957,-1.734375
567.967,-1.79296875
567.977,-1.814453125
567.987,-1.7861328125
567.997,-1.7236328125
568.007,-1.6650390625
568.017,-1.625
568.027,-1.5986328125
568.037,-1.5703125
568.047,-1.5400390625
568.057,-1.515625
568.067,-1.50390625
568.077,-1.50390625
568.087,-1.517578125
568.097,-1.541015625
568.107,-1.5615234375
568.117,-1.5673828125
568.127,-1.5595703125
568.136,-1.5498046875
568.146,-1.544921875
568.156,-1.537109375
568.166,-1.5146484375
568.176,-1.474609375
568.186,-1.4296875
568.196,-1.3818359375
568.206,-1.3125
568.216,-1.2119140625
568.226,-1.099609375
568.236,-1.00390625
568.246,-0.9375
568.256,-0.8876953125
568.266,-0.8427734375
568.276,-0.8076171875
568.286,-0.80078125
568.296,-0.83837890625
568.306,-0.927734375
568.316,-1.0615234375
568.326,-1.224609375
568.334,-1.3994140625
568.344,-1.57421875
568.354,-1.73046875
568.364,-1.8466796875
568.374,-1.91796875
568.384,-1.962890625
568.394,-1.994140625
568.404,-2.0078125
568.414,-1.9892578125
568.424,-1.9365234375
568.434,-1.8662109375
568.444,-1.7919921875
