Time,GyroX 
46.799,-11.9000005722046
46.809,-13.8200006484985
46.819,-28.9100017547607
46.829,-20.9600009918213
46.839,-19.6300010681152
46.849,-40.9800033569336
46.858,-39.2000007629395
46.868,-28.1000003814697
46.878,-21.980001449585
46.888,-8.40000057220459
46.898,15.1500005722046
46.908,23.2700004577637
46.918,45.4300003051758
46.928,52.0800018310547
46.938,29.4700012207031
46.948,6.96000051498413
46.958,-5.49000024795532
46.968,-13.8600006103516
46.978,-23.9400005340576
46.988,-25.7200012207031
46.998,-18.7600002288818
47.008,-10.5700006484985
47.018,-4.23000001907349
47.028,-7.28000020980835
47.038,-6.12000036239624
47.048,-7.00000047683716
47.053,-8.75
47.063,-4.34000015258789
47.073,-20.6500015258789
47.083,-32.1300010681152
47.093,-28.2400016784668
47.103,-27.4400005340576
47.113,-27.0500011444092
47.123,-16.2400016784668
47.133,-11.9700002670288
47.143,-5.63000011444092
47.153,11.7900009155273
47.163,22.6400012969971
47.173,39.620002746582
47.183,58.060001373291
47.193,61.4900016784668
47.203,44.6900024414062
47.21,39.620002746582
47.22,28.2400016784668
47.23,-2.87000012397766
47.24,-20.0200004577637
47.25,-18.3700008392334
47.26,-12.9500007629395
47.27,-5.39000034332275
47.28,17.2900009155273
47.29,32.7900009155273
47.3,35.4200019836426
47.31,43.4000015258789
47.32,47.4900016784668
47.33,28.980001449585
47.34,20.8600006103516
47.35,13.9600009918213
47.36,-9.59000015258789
47.37,-21.7700004577637
47.38,-29.8500022888184
47.39,-31.5300006866455
47.4,-39.4400024414062
47.409,-32.1599998474121
47.419,-18.3000011444092
47.429,-14.2400007247925
47.439,-7.66000032424927
47.449,4.83000040054321
47.459,5.35000038146973
47.469,7.63000059127808
47.479,6.68000030517578
47.489,9.45000076293945
47.499,6.40000009536743
47.509,2.13000011444092
47.519,4.83000040054321
47.529,6.19000005722046
47.539,11.0600004196167
47.549,14.2800006866455
47.559,7.4200005531311
47.569,9.83000087738037
47.579,15.9200010299683
47.589,7.73000049591064
47.599,6.05000019073486
47.608,17.0100002288818
47.618,12.1100006103516
47.628,5.21000003814697
47.638,3.74000024795532
47.648,-2.06000018119812
47.658,-7.35000038146973
47.668,-4.41000032424927
47.678,3.1100001335144
47.688,-1.26000010967255
47.698,-10.710000038147
47.708,-5.42000007629395
47.718,0.840000033378601
47.728,-18.2700004577637
47.738,-25.3700008392334
47.748,-15.0500011444092
47.758,-14.0700006484985
47.768,-23.7600002288818
47.778,-9.24000072479248
47.788,10.710000038147
47.798,14.2800006866455
47.801,2.62000012397766
47.811,3.60000014305115
47.821,-12.7700004577637
47.831,-33.9800033569336
47.841,-35.5200004577637
47.851,-35.2800025939941
47.861,-42.560001373291
47.871,-39.4400024414062
47.881,-16.6900005340576
47.891,-0.520000040531158
47.901,8.85000038146973
47.911,10.9200000762939
47.921,16.9700012207031
47.931,11.7600002288818
47.941,-9.27000045776367
47.951,-14.1400003433228
47.96,-12.6700010299683
47.97,-24.3900012969971
47.98,-27.5800018310547
47.99,-9.73000049591064
48,0.240000009536743
48.01,-0.240000009536743
48.02,5.91000032424927
48.03,12.5600004196167
48.04,4.93000030517578
48.05,-8.19000053405762
48.06,-11.1600008010864
48.07,-15.1900005340576
48.08,-23.730001449585
48.09,-36.9200019836426
48.1,-28.2800006866455
48.11,-18.0200004577637
48.12,-14.0700006484985
48.13,-10.6400003433228
48.14,4.76000022888184
48.15,15.3300008773804
48.159,9.38000011444092
48.169,-3.92000007629395
48.179,-1.47000002861023
48.189,-3.53000020980835
48.199,-14.8400011062622
48.209,-19.6700000762939
48.219,-12.3200006484985
48.229,0.0700000002980232
48.239,6.33000040054321
48.249,2.87000012397766
48.259,9.80000019073486
48.269,16.4500007629395
48.279,8.01000022888184
48.289,-4.65000009536743
48.299,-6.16000032424927
48.309,-5.28000020980835
48.319,-10.3900003433228
48.329,-23.3400020599365
48.339,-15.2200002670288
48.349,-1.33000004291534
48.357,-15.9900007247925
48.367,-29.8200016021729
48.377,-30.5900020599365
48.387,-21.5200004577637
48.397,-22.4700012207031
48.407,-31.7100009918213
48.417,-39.6500015258789
48.427,-26.8400020599365
48.437,-9.90000057220459
48.447,-8.78000068664551
48.457,-3.67000007629395
48.467,8.78000068664551
48.477,21.310001373291
48.487,9.27000045776367
48.497,-8.1200008392334
48.507,-23.5500011444092
48.517,-30.6600017547607
48.527,-65.870002746582
48.537,-117.350006103516
48.547,-143.990005493164
48.552,-140.630004882812
48.562,-113.220008850098
48.572,-106.710006713867
48.582,-115.92000579834
48.592,-126.070007324219
48.602,-129.110000610352
48.612,-144.130004882812
48.622,-171.43000793457
48.632,-180.770004272461
48.642,-171.990005493164
48.652,-150.950012207031
48.662,-135.690002441406
48.672,-123.580009460449
48.682,-105.590003967285
48.692,-84.9100036621094
48.702,-78.7800064086914
48.71,-76.0200042724609
48.72,-75.6000061035156
48.73,-82.9500045776367
48.74,-76.370002746582
48.75,-75.25
48.76,-72.7300033569336
48.77,-68.9500045776367
48.78,-54.4200019836426
48.79,-37.620002746582
48.8,-22.1200008392334
48.81,-6.82000017166138
48.82,7.21000051498413
48.83,7.49000024795532
48.84,12.5300006866455
48.85,17.1500015258789
